record_id,animal_id,species,breed,age_years,gender,weight_kg,body_temperature_c,symptoms,clinical_signs,disease,risk_score,risk_level,possible_risks,recommendation,status,report_date,village,taluka,district,state,owner_name,image_class_folder
HR0011,DS008,Cow,Khillar,5.3,Female,510,38.6,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-03,Phaltan,Phaltan,Satara,Maharashtra,Sunita More,Disease_Images/Healthy
HR0012,DS009,Cow,Gir,7.5,Male,511,39.2,skin problem;loss of appetite,Circular hairless scaly patches on face and neck,Ringworm,50,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-06-15,Karad,Karad,Satara,Maharashtra,Nitin More,Disease_Images/Ringworm
HR0013,DS010,Cow,Red Kandhari,9.0,Female,433,40.4,skin problem;fever;loss of appetite,"Multiple raised skin nodules, nasal discharge, swelling of legs",Lumpy_Skin_Disease,75,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Needs Review,2026-08-29,Shirol,Shirol,Kolhapur,Maharashtra,Ganesh More,Disease_Images/Lumpy_Skin_Disease
HR0014,DS010,Cow,Red Kandhari,9.0,Female,433,38.8,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-09-14,Shirol,Shirol,Kolhapur,Maharashtra,Ganesh More,Disease_Images/Healthy
HR0015,DS011,Cow,Gir,9.4,Female,295,39.0,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-05-19,Shirol,Shirol,Kolhapur,Maharashtra,Rajesh Pawar,Disease_Images/Healthy
HR0016,DS012,Cow,Sahiwal,3.6,Female,514,39.8,reduced milk production;fever,Swollen hot painful udder; clotted or watery milk,Mastitis,37,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Open,2026-07-01,Junnar,Junnar,Pune,Maharashtra,Sachin More,Disease_Images/Mastitis
HR0017,DS013,Buffalo,Pandharpuri,2.0,Female,557,39.5,skin problem;fever;loss of appetite,"Multiple raised skin nodules, nasal discharge, swelling of legs",Lumpy_Skin_Disease,75,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-08-11,Karad,Karad,Satara,Maharashtra,Sachin Chavan,Disease_Images/Lumpy_Skin_Disease
HR0018,DS013,Buffalo,Pandharpuri,2.0,Female,557,38.6,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-28,Karad,Karad,Satara,Maharashtra,Sachin Chavan,Disease_Images/Healthy
HR0019,DS014,Cow,Deoni,10.5,Female,291,39.8,reduced milk production;fever;loss of appetite,"Hard quarter of udder, flakes in milk, kicks when milked",Mastitis,62,High,Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-07-07,Karad,Karad,Satara,Maharashtra,Mangal Salunkhe,Disease_Images/Mastitis
HR0020,DS014,Cow,Deoni,10.5,Female,291,38.1,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-22,Karad,Karad,Satara,Maharashtra,Mangal Salunkhe,Disease_Images/Healthy
HR0021,DS015,Buffalo,Nili-Ravi,7.3,Female,600,40.8,fever;loss of appetite;reduced milk production,"Excess salivation, smacking lips, blisters on tongue, reluctant to walk",Foot_Mouth_Disease,62,High,Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-08-09,Niphad,Niphad,Nashik,Maharashtra,Prakash Patil,Disease_Images/Foot_Mouth_Disease
HR0022,DS015,Buffalo,Nili-Ravi,7.3,Female,600,38.4,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-27,Niphad,Niphad,Nashik,Maharashtra,Prakash Patil,Disease_Images/Healthy
HR0023,DS016,Cow,Khillar,9.9,Female,302,40.0,skin problem;fever,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,50,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-08-03,Phaltan,Phaltan,Satara,Maharashtra,Bhagwan Shinde,Disease_Images/Lumpy_Skin_Disease
HR0024,DS016,Cow,Khillar,9.9,Female,302,38.1,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-24,Phaltan,Phaltan,Satara,Maharashtra,Bhagwan Shinde,Disease_Images/Healthy
HR0025,DS017,Cow,Red Kandhari,4.5,Female,508,39.8,reduced milk production,"Hard quarter of udder, flakes in milk, kicks when milked",Mastitis,12,Low,General health concern,Continue preventive care and monitor for new symptoms.,Open,2026-07-30,Karad,Karad,Satara,Maharashtra,Bhagwan Patil,Disease_Images/Mastitis
HR0026,DS017,Cow,Red Kandhari,4.5,Female,508,38.1,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-09,Karad,Karad,Satara,Maharashtra,Bhagwan Patil,Disease_Images/Healthy
HR0027,DS018,Cow,Crossbred,7.9,Female,410,40.0,reduced milk production;weakness,"Hard quarter of udder, flakes in milk, kicks when milked",Mastitis,24,Low,General health concern,Continue preventive care and monitor for new symptoms.,Open,2026-07-16,Baramati,Baramati,Pune,Maharashtra,Anita Gaikwad,Disease_Images/Mastitis
HR0028,DS019,Cow,Jersey,9.6,Female,355,40.2,skin problem;fever,"Firm skin nodules 2-5 cm on neck, back and legs; enlarged lymph nodes",Lumpy_Skin_Disease,50,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-06-22,Miraj,Miraj,Sangli,Maharashtra,Bhagwan Salunkhe,Disease_Images/Lumpy_Skin_Disease
HR0029,DS020,Buffalo,Murrah,3.9,Male,395,38.9,skin problem,Patchy hair loss with dry scales on shoulder,Ringworm,25,Medium,Skin-related infection risk,Monitor the animal closely and consider veterinary consultation.,Verified,2026-05-07,Sinnar,Sinnar,Nashik,Maharashtra,Ganesh More,Disease_Images/Ringworm
HR0030,DS021,Buffalo,Murrah,4.4,Female,552,39.0,skin problem,Patchy hair loss with dry scales on shoulder,Ringworm,25,Medium,Skin-related infection risk,Monitor the animal closely and consider veterinary consultation.,Open,2026-08-25,Hingna,Hingna,Nagpur,Maharashtra,Anita Bhosale,Disease_Images/Ringworm
HR0031,DS021,Buffalo,Murrah,4.4,Female,552,38.8,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-09-02,Hingna,Hingna,Nagpur,Maharashtra,Anita Bhosale,Disease_Images/Healthy
HR0032,DS022,Buffalo,Jaffarabadi,7.6,Female,553,40.4,skin problem;fever;loss of appetite;weakness,"Multiple raised skin nodules, nasal discharge, swelling of legs",Lumpy_Skin_Disease,87,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Needs Review,2026-06-01,Baramati,Baramati,Pune,Maharashtra,Vijay Bhosale,Disease_Images/Lumpy_Skin_Disease
HR0033,DS023,Cow,Khillar,7.4,Female,375,38.3,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-24,Niphad,Niphad,Nashik,Maharashtra,Balasaheb Kadam,Disease_Images/Healthy
HR0034,DS024,Cow,Deoni,9.4,Female,479,39.7,reduced milk production;fever,Swollen hot painful udder; clotted or watery milk,Mastitis,37,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Needs Review,2026-07-15,Junnar,Junnar,Pune,Maharashtra,Balasaheb Kadam,Disease_Images/Mastitis
HR0035,DS024,Cow,Deoni,9.4,Female,479,38.4,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-29,Junnar,Junnar,Pune,Maharashtra,Balasaheb Kadam,Disease_Images/Healthy
HR0036,DS025,Buffalo,Nili-Ravi,7.3,Female,377,38.4,skin problem,Circular hairless scaly patches on face and neck,Ringworm,25,Medium,Skin-related infection risk,Monitor the animal closely and consider veterinary consultation.,Verified,2026-06-18,Hingna,Hingna,Nagpur,Maharashtra,Sunita Pawar,Disease_Images/Ringworm
HR0037,DS026,Cow,Gir,9.6,Male,425,39.9,skin problem;fever;reduced milk production,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,62,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-07-02,Karad,Karad,Satara,Maharashtra,Rajesh More,Disease_Images/Lumpy_Skin_Disease
HR0038,DS027,Goat,Sirohi,5.1,Female,40,39.0,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-09-02,Phaltan,Phaltan,Satara,Maharashtra,Lata Bhosale,Disease_Images/Healthy
HR0039,DS028,Buffalo,Murrah,2.2,Female,439,40.9,skin problem;fever;loss of appetite,"Firm skin nodules 2-5 cm on neck, back and legs; enlarged lymph nodes",Lumpy_Skin_Disease,75,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-05-05,Shirol,Shirol,Kolhapur,Maharashtra,Meena Kale,Disease_Images/Lumpy_Skin_Disease
HR0040,DS029,Buffalo,Jaffarabadi,7.1,Male,543,38.1,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-30,Miraj,Miraj,Sangli,Maharashtra,Ganesh Deshmukh,Disease_Images/Healthy
HR0041,DS030,Buffalo,Murrah,4.7,Male,531,40.7,skin problem;fever;reduced milk production;weakness,"Firm skin nodules 2-5 cm on neck, back and legs; enlarged lymph nodes",Lumpy_Skin_Disease,74,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-08-10,Kagal,Kagal,Kolhapur,Maharashtra,Meena Kadam,Disease_Images/Lumpy_Skin_Disease
HR0042,DS030,Buffalo,Murrah,4.7,Male,531,38.7,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-22,Kagal,Kagal,Kolhapur,Maharashtra,Meena Kadam,Disease_Images/Healthy
HR0043,DS031,Buffalo,Jaffarabadi,4.1,Female,420,39.8,skin problem;fever;loss of appetite;weakness,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,87,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-09-16,Shirol,Shirol,Kolhapur,Maharashtra,Bhagwan Jadhav,Disease_Images/Lumpy_Skin_Disease
HR0044,DS032,Buffalo,Murrah,5.3,Female,602,40.2,fever;skin problem,Vesicles and erosions in mouth and between hooves; drooling; lameness,Foot_Mouth_Disease,50,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-08-03,Sangamner,Sangamner,Ahmednagar,Maharashtra,Suresh Chavan,Disease_Images/Foot_Mouth_Disease
HR0045,DS032,Buffalo,Murrah,5.3,Female,602,38.5,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-14,Sangamner,Sangamner,Ahmednagar,Maharashtra,Suresh Chavan,Disease_Images/Healthy
HR0046,DS033,Cow,Crossbred,5.1,Female,356,39.5,reduced milk production;loss of appetite,"Hard quarter of udder, flakes in milk, kicks when milked",Mastitis,37,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Verified,2026-07-18,Kagal,Kagal,Kolhapur,Maharashtra,Sanjay Salunkhe,Disease_Images/Mastitis
HR0047,DS034,Cow,Holstein Friesian,7.5,Female,346,39.4,reduced milk production;fever,Udder swelling with reduced milk yield and mild fever,Mastitis,37,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Needs Review,2026-08-15,Shirur,Shirur,Pune,Maharashtra,Sachin More,Disease_Images/Mastitis
HR0048,DS034,Cow,Holstein Friesian,7.5,Female,346,38.6,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-09-04,Shirur,Shirur,Pune,Maharashtra,Sachin More,Disease_Images/Healthy
HR0049,DS035,Sheep,Deccani,10.0,Female,59,38.1,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-20,Kamptee,Kamptee,Nagpur,Maharashtra,Shivaji Jadhav,Disease_Images/Healthy
HR0050,DS036,Buffalo,Pandharpuri,10.1,Female,398,38.3,skin problem,Patchy hair loss with dry scales on shoulder,Ringworm,25,Medium,Skin-related infection risk,Monitor the animal closely and consider veterinary consultation.,Open,2026-05-20,Kamptee,Kamptee,Nagpur,Maharashtra,Sopan Pawar,Disease_Images/Ringworm
HR0051,DS037,Cow,Sahiwal,10.1,Male,516,40.5,fever;loss of appetite;weakness,"Painful hooves, mouth ulcers, sudden drop in milk yield",Foot_Mouth_Disease,62,High,Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-08-11,Niphad,Niphad,Nashik,Maharashtra,Ramesh Chavan,Disease_Images/Foot_Mouth_Disease
HR0052,DS037,Cow,Sahiwal,10.1,Male,516,38.3,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-09-01,Niphad,Niphad,Nashik,Maharashtra,Ramesh Chavan,Disease_Images/Healthy
HR0053,DS038,Buffalo,Pandharpuri,2.4,Female,394,38.6,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-06,Rahuri,Rahuri,Ahmednagar,Maharashtra,Sanjay Deshmukh,Disease_Images/Healthy
HR0054,DS039,Buffalo,Pandharpuri,9.9,Female,468,40.5,fever;loss of appetite;reduced milk production;weakness,Vesicles and erosions in mouth and between hooves; drooling; lameness,Foot_Mouth_Disease,74,High,Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-09-14,Niphad,Niphad,Nashik,Maharashtra,Prakash Chavan,Disease_Images/Foot_Mouth_Disease
HR0055,DS040,Buffalo,Nili-Ravi,2.9,Male,588,40.0,skin problem;fever;reduced milk production;weakness,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,74,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-06-03,Karad,Karad,Satara,Maharashtra,Sachin Jadhav,Disease_Images/Lumpy_Skin_Disease
HR0056,DS040,Buffalo,Nili-Ravi,2.9,Male,588,38.9,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-20,Karad,Karad,Satara,Maharashtra,Sachin Jadhav,Disease_Images/Healthy
HR0057,DS041,Cow,Holstein Friesian,9.1,Male,518,38.7,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-23,Sangamner,Sangamner,Ahmednagar,Maharashtra,Shivaji Salunkhe,Disease_Images/Healthy
HR0058,DS042,Cow,Deoni,9.3,Female,297,38.3,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-10,Pandharpur,Pandharpur,Solapur,Maharashtra,Vijay Bhosale,Disease_Images/Healthy
HR0059,DS043,Cow,Jersey,4.8,Female,402,40.3,reduced milk production;loss of appetite;weakness,Swollen hot painful udder; clotted or watery milk,Mastitis,49,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Open,2026-05-02,Shirur,Shirur,Pune,Maharashtra,Balasaheb Shinde,Disease_Images/Mastitis
HR0060,DS044,Cow,Crossbred,5.1,Female,360,38.6,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-21,Junnar,Junnar,Pune,Maharashtra,Balasaheb Deshmukh,Disease_Images/Healthy
HR0061,DS045,Cow,Holstein Friesian,10.9,Female,404,38.3,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-09,Phaltan,Phaltan,Satara,Maharashtra,Suresh Salunkhe,Disease_Images/Healthy
HR0062,DS046,Buffalo,Pandharpuri,4.0,Female,523,39.7,skin problem;fever;loss of appetite;reduced milk production;weakness,"Multiple raised skin nodules, nasal discharge, swelling of legs",Lumpy_Skin_Disease,99,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-06-23,Shirol,Shirol,Kolhapur,Maharashtra,Balasaheb Chavan,Disease_Images/Lumpy_Skin_Disease
HR0063,DS046,Buffalo,Pandharpuri,4.0,Female,523,38.2,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-10,Shirol,Shirol,Kolhapur,Maharashtra,Balasaheb Chavan,Disease_Images/Healthy
HR0064,DS047,Cow,Gir,8.1,Male,495,40.0,skin problem;fever;loss of appetite;weakness,"Multiple raised skin nodules, nasal discharge, swelling of legs",Lumpy_Skin_Disease,87,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-07-22,Kagal,Kagal,Kolhapur,Maharashtra,Meena Gaikwad,Disease_Images/Lumpy_Skin_Disease
HR0065,DS047,Cow,Gir,8.1,Male,495,38.9,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-11,Kagal,Kagal,Kolhapur,Maharashtra,Meena Gaikwad,Disease_Images/Healthy
HR0066,DS048,Cow,Gir,1.7,Male,308,40.9,fever;weakness,Vesicles and erosions in mouth and between hooves; drooling; lameness,Foot_Mouth_Disease,37,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Verified,2026-07-23,Rahuri,Rahuri,Ahmednagar,Maharashtra,Kavita Salunkhe,Disease_Images/Foot_Mouth_Disease
HR0067,DS048,Cow,Gir,1.7,Male,308,38.4,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-02,Rahuri,Rahuri,Ahmednagar,Maharashtra,Kavita Salunkhe,Disease_Images/Healthy
HR0068,DS049,Cow,Deoni,2.4,Male,391,38.5,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-09-18,Shirol,Shirol,Kolhapur,Maharashtra,Meena Salunkhe,Disease_Images/Healthy
HR0069,DS050,Cow,Jersey,3.6,Male,435,38.6,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-05-04,Sinnar,Sinnar,Nashik,Maharashtra,Shivaji Jadhav,Disease_Images/Healthy
HR0070,DS051,Cow,Crossbred,5.4,Female,327,38.3,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-16,Sangamner,Sangamner,Ahmednagar,Maharashtra,Mangal Kadam,Disease_Images/Healthy
HR0071,DS052,Buffalo,Murrah,6.1,Male,547,38.6,skin problem,Circular hairless scaly patches on face and neck,Ringworm,25,Medium,Skin-related infection risk,Monitor the animal closely and consider veterinary consultation.,Open,2026-05-21,Kagal,Kagal,Kolhapur,Maharashtra,Dattatray Kale,Disease_Images/Ringworm
HR0072,DS053,Cow,Sahiwal,5.9,Male,390,40.5,skin problem;fever;loss of appetite,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,75,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-07-22,Shirol,Shirol,Kolhapur,Maharashtra,Dattatray Gaikwad,Disease_Images/Lumpy_Skin_Disease
HR0073,DS054,Cow,Khillar,5.6,Female,288,40.9,skin problem;fever;loss of appetite;reduced milk production;weakness,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,99,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-09-20,Shirol,Shirol,Kolhapur,Maharashtra,Nitin Patil,Disease_Images/Lumpy_Skin_Disease
HR0074,DS055,Buffalo,Nili-Ravi,5.8,Female,411,38.8,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-12,Niphad,Niphad,Nashik,Maharashtra,Lata More,Disease_Images/Healthy
HR0075,DS056,Cow,Khillar,9.0,Female,348,38.2,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-24,Pandharpur,Pandharpur,Solapur,Maharashtra,Rajesh Jadhav,Disease_Images/Healthy
HR0076,DS057,Buffalo,Jaffarabadi,4.6,Male,601,39.0,skin problem,Patchy hair loss with dry scales on shoulder,Ringworm,25,Medium,Skin-related infection risk,Monitor the animal closely and consider veterinary consultation.,Open,2026-09-20,Shirur,Shirur,Pune,Maharashtra,Balasaheb Patil,Disease_Images/Ringworm
HR0077,DS058,Buffalo,Nili-Ravi,8.2,Female,419,39.5,skin problem;fever;loss of appetite,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,75,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-09-04,Miraj,Miraj,Sangli,Maharashtra,Suresh Kadam,Disease_Images/Lumpy_Skin_Disease
HR0078,DS059,Cow,Jersey,1.1,Female,339,38.5,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-15,Hingna,Hingna,Nagpur,Maharashtra,Dattatray Shinde,Disease_Images/Healthy
HR0079,DS060,Cow,Holstein Friesian,5.5,Female,334,38.2,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-12,Hingna,Hingna,Nagpur,Maharashtra,Bhagwan More,Disease_Images/Healthy
HR0080,DS061,Cow,Khillar,7.6,Female,473,40.7,skin problem;fever,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,50,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-08-08,Shirol,Shirol,Kolhapur,Maharashtra,Bhagwan Patil,Disease_Images/Lumpy_Skin_Disease
HR0081,DS061,Cow,Khillar,7.6,Female,473,38.5,,No abnormal signs; normal feeding and rumination,Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-23,Shirol,Shirol,Kolhapur,Maharashtra,Bhagwan Patil,Disease_Images/Healthy
HR0082,DS062,Cow,Red Kandhari,10.6,Female,371,38.7,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-06-17,Sangamner,Sangamner,Ahmednagar,Maharashtra,Vijay Kale,Disease_Images/Healthy
HR0083,DS063,Cow,Jersey,2.0,Male,409,38.6,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-31,Niphad,Niphad,Nashik,Maharashtra,Suresh Gaikwad,Disease_Images/Healthy
HR0084,DS064,Buffalo,Jaffarabadi,4.7,Male,520,40.1,skin problem;fever;loss of appetite;reduced milk production,"Multiple raised skin nodules, nasal discharge, swelling of legs",Lumpy_Skin_Disease,87,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Needs Review,2026-08-28,Kagal,Kagal,Kolhapur,Maharashtra,Bhagwan Gaikwad,Disease_Images/Lumpy_Skin_Disease
